contract,category,raw_alerts,unique_vulns,reduction_pct,tokens_total,cost_usd
mapping_write,access_control,10,3,70.0,1855,0.0071
mycontract,access_control,6,3,50.0,1451,0.00616
phishable,access_control,10,5,50.0,2058,0.00926
proxy,access_control,7,4,42.86,1649,0.00755
simple_suicide,access_control,4,2,50.0,1101,0.00461
integer_overflow_add,arithmetic,2,1,50.0,786,0.00299
integer_overflow_benign_1,arithmetic,3,2,33.33,957,0.00403
integer_overflow_mapping_sym_1,arithmetic,2,1,50.0,788,0.00302
integer_overflow_minimal,arithmetic,2,1,50.0,782,0.00295
overflow_simple_add,arithmetic,3,2,33.33,1001,0.00429
guess_the_random_number,bad_randomness,8,4,50.0,1822,0.00779
random_number_generator,bad_randomness,4,3,25.0,1289,0.0058
auction,denial_of_service,4,2,50.0,1155,0.00461
dos_simple,denial_of_service,2,1,50.0,797,0.0031
send_loop,denial_of_service,0,0,0.0,0,0.0
FindThisHash,front_running,5,3,40.0,1359,0.00602
etherbank,reentrancy,8,3,62.5,1660,0.00657
etherstore,reentrancy,12,5,58.33,2372,0.01021
modifier_reentrancy,reentrancy,10,3,70.0,1962,0.00742
reentrancy_cross_function,reentrancy,3,2,33.33,1040,0.00471
reentrancy_dao,reentrancy,7,3,57.14,1629,0.00673
reentrancy_simple,reentrancy,8,4,50.0,1793,0.00776
simple_dao,reentrancy,9,4,55.56,1902,0.00815
roulette,time_manipulation,10,5,50.0,2143,0.00913
timed_crowdsale,time_manipulation,3,2,33.33,1016,0.00433
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9,unchecked_low_level_calls,7,2,71.43,1543,0.00579
0x2972d548497286d18e92b5fa1f8f9139e5653fd2,unchecked_low_level_calls,14,7,50.0,2915,0.01243
0x4051334adc52057aca763453820cb0e045076ef3,unchecked_low_level_calls,13,6,53.85,2675,0.01112
mishandled,unchecked_low_level_calls,5,3,40.0,1311,0.0057
unchecked_return_value,unchecked_low_level_calls,9,3,66.67,1826,0.00735
